MsgID.GLOBAL_POSITION,0.0000000,-122.3957521,37.7932831,0.2300000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,642.7160000,0.1465215,-0.0550515,-0.2303731
MsgID.LOCAL_VELOCITY,642.7160000,-0.0000077,-0.0000014,0.0000149
MsgID.GLOBAL_POSITION,0.0000000,-122.3957500,37.7932818,0.2350000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,642.9660000,0.0120490,0.1341310,-0.2359142
MsgID.LOCAL_VELOCITY,642.9660000,-0.0000011,-0.0000044,-0.0000161
MsgID.STATE,0.0000000,True,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957515,37.7932817,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957512,37.7932817,0.2310000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,643.2160000,-0.0010801,0.0218447,-0.2311584
MsgID.LOCAL_VELOCITY,643.2160000,-0.0000042,-0.0000018,-0.0000177
MsgID.GLOBAL_POSITION,0.0000000,-122.3957514,37.7932823,0.2150000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,643.4660000,0.0646298,0.0051740,-0.2154522
MsgID.LOCAL_VELOCITY,643.4660000,0.0000115,0.0000017,0.0000435
MsgID.GLOBAL_POSITION,0.0000000,-122.3957506,37.7932824,0.1900000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,643.7170000,0.0731670,0.0739780,-0.1900133
MsgID.LOCAL_VELOCITY,643.7170000,-0.0000064,0.0000021,0.0000026
MsgID.GLOBAL_POSITION,0.0000000,-122.3957508,37.7932808,0.1610000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.2600000
MsgID.LOCAL_POSITION,643.9670000,-0.1061383,0.0564588,-0.1615988
MsgID.LOCAL_VELOCITY,643.9670000,0.0000324,-0.0001738,-0.2610078
MsgID.STATE,0.0000000,True,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957515,37.7932817,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957519,37.7932806,0.4710000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0000000,-2.4600000
MsgID.LOCAL_POSITION,644.2170000,-0.1245707,-0.0360215,-0.4716753
MsgID.LOCAL_VELOCITY,644.2170000,0.0137997,-0.0059298,-2.4644432
MsgID.GLOBAL_POSITION,0.0000000,-122.3957504,37.7932817,1.2910000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,0.0000000,-4.0600000
MsgID.LOCAL_POSITION,644.4670000,-0.0015393,0.0943222,-1.2917790
MsgID.LOCAL_VELOCITY,644.4670000,0.0297300,-0.0026291,-4.0691447
MsgID.GLOBAL_POSITION,0.0000000,-122.3957497,37.7932818,2.3430000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-0.0100000,-4.1600000
MsgID.LOCAL_POSITION,644.7170000,0.0077739,0.1620293,-2.3434885
MsgID.LOCAL_VELOCITY,644.7170000,0.0188245,-0.0132788,-4.1669922
MsgID.GLOBAL_POSITION,0.0000000,-122.3957500,37.7932816,3.0360000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-0.0100000,-1.5400000
MsgID.LOCAL_POSITION,644.9670000,-0.0158842,0.1272703,-3.0362327
MsgID.LOCAL_VELOCITY,644.9670000,0.0176815,-0.0124812,-1.5432169
MsgID.STATE,0.0000000,True,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957515,37.7932817,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957525,37.7932820,3.1040000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,-0.0100000,0.8500000
MsgID.LOCAL_POSITION,645.2170000,0.0332495,-0.0919214,-3.1047816
MsgID.LOCAL_VELOCITY,645.2170000,0.0165134,-0.0117894,0.8558965
MsgID.GLOBAL_POSITION,0.0000000,-122.3957523,37.7932833,2.7500000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0000000,1.8000000
MsgID.LOCAL_POSITION,645.4670000,0.1717836,-0.0742263,-2.7502105
MsgID.LOCAL_VELOCITY,645.4670000,0.0109791,-0.0052811,1.8017586
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932826,2.6000000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0200000,0.0000000,-0.5200000
MsgID.LOCAL_POSITION,645.7170000,0.0995027,0.0006726,-2.6008117
MsgID.LOCAL_VELOCITY,645.7170000,-0.0209256,0.0069482,-0.5213308
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932823,3.0000000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0200000,0.0000000,-2.0800000
MsgID.LOCAL_POSITION,645.9670000,0.0576708,-0.0044807,-3.0007358
MsgID.LOCAL_VELOCITY,645.9670000,-0.0236247,-0.0006195,-2.0857408
MsgID.STATE,0.0000000,True,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957515,37.7932817,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957520,37.7932831,3.6890000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-3.6600000
MsgID.LOCAL_POSITION,646.2170000,0.1514885,-0.0488633,-3.6891196
MsgID.LOCAL_VELOCITY,646.2170000,-0.0068631,-0.0040652,-3.6626267
MsgID.GLOBAL_POSITION,0.0000000,-122.3957513,37.7932823,4.7290000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0000000,-4.4500000
MsgID.LOCAL_POSITION,646.4670000,0.0645587,0.0137111,-4.7290101
MsgID.LOCAL_VELOCITY,646.4670000,-0.0117566,-0.0000449,-4.4549971
MsgID.GLOBAL_POSITION,0.0000000,-122.3957517,37.7932814,5.8500000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0000000,-3.8800000
MsgID.LOCAL_POSITION,646.7170000,-0.0350604,-0.0192784,-5.8506627
MsgID.LOCAL_VELOCITY,646.7170000,-0.0151018,-0.0029364,-3.8839843
MsgID.GLOBAL_POSITION,0.0000000,-122.3957531,37.7932817,6.4910000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0000000,-1.2700000
MsgID.LOCAL_POSITION,646.9670000,-0.0027746,-0.1464762,-6.4913292
MsgID.LOCAL_VELOCITY,646.9670000,-0.0141869,-0.0027585,-1.2713919
MsgID.STATE,0.0000000,True,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957515,37.7932817,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957504,37.7932817,6.5060000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0000000,0.9700000
MsgID.LOCAL_POSITION,647.2170000,-0.0062153,0.0981096,-6.5060501
MsgID.LOCAL_VELOCITY,647.2170000,-0.0125317,-0.0021447,0.9714780
MsgID.GLOBAL_POSITION,0.0000000,-122.3957514,37.7932820,6.3960000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0100000,-0.6400000
MsgID.LOCAL_POSITION,647.4670000,0.0262969,0.0024007,-6.3968081
MsgID.LOCAL_VELOCITY,647.4670000,0.0015193,-0.0150888,-0.6456433
MsgID.GLOBAL_POSITION,0.0000000,-122.3957526,37.7932813,6.8370000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-2.8400000
MsgID.LOCAL_POSITION,647.7170000,-0.0507894,-0.1045874,-6.8377700
MsgID.LOCAL_VELOCITY,647.7170000,0.0024769,-0.0090102,-2.8495188
MsgID.GLOBAL_POSITION,0.0000000,-122.3957499,37.7932806,7.6600000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-2.6200000
MsgID.LOCAL_POSITION,647.9670000,-0.1238658,0.1417058,-7.6600232
MsgID.LOCAL_VELOCITY,647.9670000,0.0023084,0.0029327,-2.6235237
MsgID.STATE,0.0000000,True,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957515,37.7932817,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957511,37.7932822,7.9960000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.0800000
MsgID.LOCAL_POSITION,648.2170000,0.0546828,0.0315097,-7.9960003
MsgID.LOCAL_VELOCITY,648.2170000,0.0021685,0.0027550,-0.0872966
MsgID.GLOBAL_POSITION,0.0000000,-122.3957513,37.7932817,7.8310000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.4400000
MsgID.LOCAL_POSITION,648.4680000,-0.0001035,0.0175088,-7.8317428
MsgID.LOCAL_VELOCITY,648.4680000,-0.0009494,-0.0031766,0.4464344
MsgID.GLOBAL_POSITION,0.0000000,-122.3957511,37.7932815,8.0220000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0100000,-1.8100000
MsgID.LOCAL_POSITION,648.7180000,-0.0221124,0.0322651,-8.0225363
MsgID.LOCAL_VELOCITY,648.7180000,-0.0026389,-0.0100081,-1.8154808
MsgID.GLOBAL_POSITION,0.0000000,-122.3957511,37.7932829,8.5400000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0100000,-1.2100000
MsgID.LOCAL_POSITION,648.9680000,0.1323059,0.0326894,-8.5401602
MsgID.LOCAL_VELOCITY,648.9680000,0.0028482,-0.0109676,-1.2188572
MsgID.STATE,0.0000000,True,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957515,37.7932817,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932823,8.6010000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0100000,0.1200000
MsgID.LOCAL_POSITION,649.2180000,0.0672427,-0.0045738,-8.6012001
MsgID.LOCAL_VELOCITY,649.2180000,-0.0038754,-0.0105855,0.1245743
MsgID.GLOBAL_POSITION,0.0000000,-122.3957523,37.7932816,8.8830000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,-0.0100000,-2.1100000
MsgID.LOCAL_POSITION,649.4680000,-0.0110788,-0.0772480,-8.8834867
MsgID.LOCAL_VELOCITY,649.4680000,-0.0148365,-0.0100131,-2.1112590
MsgID.GLOBAL_POSITION,0.0000000,-122.3957526,37.7932816,9.6740000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-3.3400000
MsgID.LOCAL_POSITION,649.7180000,-0.0135236,-0.0996514,-9.6744013
MsgID.LOCAL_VELOCITY,649.7180000,-0.0008920,0.0010529,-3.3405578
MsgID.GLOBAL_POSITION,0.0000000,-122.3957501,37.7932813,10.2070000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.7800000
MsgID.LOCAL_POSITION,649.9680000,-0.0501491,0.1176777,-10.2075958
MsgID.LOCAL_VELOCITY,649.9680000,-0.0007794,0.0010886,-0.7826433
MsgID.STATE,0.0000000,True,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957515,37.7932817,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957515,37.7932822,10.1340000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,1.1200000
MsgID.LOCAL_POSITION,650.2180000,0.0567071,0.0012107,-10.1342010
MsgID.LOCAL_VELOCITY,650.2180000,0.0006336,-0.0020958,1.1256669
MsgID.GLOBAL_POSITION,0.0000000,-122.3957505,37.7932829,9.8050000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.9400000
MsgID.LOCAL_POSITION,650.4680000,0.1339616,0.0868923,-9.8059092
MsgID.LOCAL_VELOCITY,650.4680000,-0.0018336,-0.0083706,0.9478762
MsgID.GLOBAL_POSITION,0.0000000,-122.3957500,37.7932818,9.7430000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,-0.0100000,-0.4200000
MsgID.LOCAL_POSITION,650.7180000,0.0078968,0.1280153,-9.7438269
MsgID.LOCAL_VELOCITY,650.7180000,-0.0156774,-0.0184765,-0.4273044
MsgID.GLOBAL_POSITION,0.0000000,-122.3957505,37.7932812,9.8350000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,-0.0200000,-0.3300000
MsgID.LOCAL_POSITION,650.9680000,-0.0639119,0.0829083,-9.8353472
MsgID.LOCAL_VELOCITY,650.9680000,-0.0109848,-0.0223531,-0.3387022
MsgID.STATE,0.0000000,True,False,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957515,37.7932817,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957524,37.7932828,9.8400000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,-0.0200000,-0.0300000
MsgID.LOCAL_POSITION,651.2180000,0.1161112,-0.0844191,-9.8408413
MsgID.LOCAL_VELOCITY,651.2180000,-0.0002507,-0.0211534,-0.0351287
MsgID.GLOBAL_POSITION,0.0000000,-122.3957532,37.7932830,9.8140000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.0600000
MsgID.LOCAL_POSITION,651.4680000,0.1377580,-0.1507396,-9.8140097
MsgID.LOCAL_VELOCITY,651.4680000,-0.0062736,-0.0059448,-0.0628999
MsgID.GLOBAL_POSITION,0.0000000,-122.3957512,37.7932808,9.8140000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0000000,-0.1500000
MsgID.LOCAL_POSITION,651.7180000,-0.0995673,0.0253837,-9.8144331
MsgID.LOCAL_VELOCITY,651.7180000,-0.0150896,0.0073170,-0.1549230
MsgID.GLOBAL_POSITION,0.0000000,-122.3957502,37.7932810,9.8230000
MsgID.LOCAL_VELOCITY,0.0000000,0.1300000,0.0000000,-0.1300000
MsgID.LOCAL_POSITION,651.9680000,-0.0820986,0.1124830,-9.8238831
